NOMBRE,PRIMER APELLIDO,SEGUNDO APELLIDO,FECHA DE NACIMIENTO,CURP,DETALLES DE OCUPACION (CATALOGO PENDIENTE),SEXO,GENERO
KATHIA,PRIMER APELLIDO,SEGUNDO APELLIDO,1999-02-24,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
RUBI,PRIMER APELLIDO,SEGUNDO APELLIDO,2016-06-01,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
JESUS MANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-07-30,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
CESAR EDUARDO,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-10-01,CURP000000MVZCURP,CAMPESINO,HOMBRE,MASCULINO
ZOE SIOMARA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-09-04,CURP000000MVZCURP,COMERCIANTE,MUJER,FEMENINO
MAURO,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-09-03,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
ALDO ALEJANDRO,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-09-03,CURP000000MVZCURP,CHOFER,HOMBRE,MASCULINO
FERNANDA ELISAMA,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-01-28,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
VANNIA CAMILA,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-04-30,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
DEMIAN EMANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2012-06-08,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
KARENKA ESTHER,PRIMER APELLIDO,SEGUNDO APELLIDO,2014-09-17,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
YESICA GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-11-01,CURP000000MVZCURP,EMPLEADA,MUJER,FEMENINO
MANUELA,PRIMER APELLIDO,SEGUNDO APELLIDO,1988-07-02,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
JOVANNA,PRIMER APELLIDO,SEGUNDO APELLIDO,1989-05-08,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
JACOBO,PRIMER APELLIDO,SEGUNDO APELLIDO,1974-01-05,CURP000000MVZCURP,ELECTRICISTA,HOMBRE,MASCULINO
COLUMBO ALBERTO,PRIMER APELLIDO,SEGUNDO APELLIDO,1967-11-15,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
JETZEEL GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,2003-08-18,CURP000000MVZCURP,COMERCIANTE,HOMBRE,MASCULINO
JORGE,PRIMER APELLIDO,SEGUNDO APELLIDO,1979-02-12,CURP000000MVZCURP,PERFORADOR DE POZO PETROLERO,HOMBRE,MASCULINO
GABRIELA,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-05-08,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
PAULA,PRIMER APELLIDO,SEGUNDO APELLIDO,1935-03-02,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
ALFONSO,PRIMER APELLIDO,SEGUNDO APELLIDO,1968-01-23,CURP000000MVZCURP,EMPLEADO DE FRIGORIFICO DE LA CUENCA DEL PAPALOAPAN,HOMBRE,MASCULINO
JULIO CESAR,PRIMER APELLIDO,SEGUNDO APELLIDO,1987-01-08,CURP000000MVZCURP,EMPLEADO DE BANCO SCOTIANBANK,HOMBRE,MASCULINO
RAUL,PRIMER APELLIDO,SEGUNDO APELLIDO,2008-03-13,CURP000000MVZCURP,ESTUDIANTE,HOMBRE,MASCULINO
ADRIAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1964-02-12,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
MIA SOLEDAD,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-11-29,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
EDGAR CECILIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1973-10-17,CURP000000MVZCURP,TRANSPORTE Y CARGA DEL SERVICIO PUBLICO FEDERAL,HOMBRE,MASCULINO
CARLOS MAURICIO,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-02-10,CURP000000MVZCURP,ALBAÑIL,HOMBRE,MASCULINO
JESSICA,PRIMER APELLIDO,SEGUNDO APELLIDO,1993-11-12,CURP000000MVZCURP,OBRERA EN EL INGENIO LA PROVIDENCIA,MUJER,FEMENINO
OSCAR IVAN,PRIMER APELLIDO,SEGUNDO APELLIDO,1994-08-03,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
JAFHET ARTURO,PRIMER APELLIDO,SEGUNDO APELLIDO,2001-10-19,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
JUVENCIO,PRIMER APELLIDO,SEGUNDO APELLIDO,1981-04-18,CURP000000MVZCURP,OPERADOR DE TRANSPORTE DE CARGA,HOMBRE,MASCULINO
GUADALUPE,PRIMER APELLIDO,SEGUNDO APELLIDO,1970-12-21,CURP000000MVZCURP,AGRICULTOR,HOMBRE,MASCULINO
JAZMIN,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-07-12,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
HECTOR MIGUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-10-26,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
CINTHYA LIZBETH,PRIMER APELLIDO,SEGUNDO APELLIDO,2002-10-18,CURP000000MVZCURP,LABORES DEL HOGAR,MUJER,FEMENINO
EVA MICHELLE,PRIMER APELLIDO,SEGUNDO APELLIDO,2021-04-28,CURP000000MVZCURP,,MUJER,FEMENINO
MAYDELINE MONSERRAT,PRIMER APELLIDO,SEGUNDO APELLIDO,2011-10-08,CURP000000MVZCURP,,MUJER,FEMENINO
IRVING OSMAR,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-07-24,CURP000000MVZCURP,NO ESPECIFICA,HOMBRE,MASCULINO
JOSE VALENTE,PRIMER APELLIDO,SEGUNDO APELLIDO,2001-03-20,CURP000000MVZCURP,TRABAJADOR DE LA CONSTRUCCION,HOMBRE,MASCULINO
JOSE MANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1982-07-16,CURP000000MVZCURP,DESEMPLEADO,HOMBRE,MASCULINO
DULCE MARIA,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-03-31,CURP000000MVZCURP,EMPLEADA EN UN AUTOLAVADO,MUJER,FEMENINO
DANNA,PRIMER APELLIDO,SEGUNDO APELLIDO,2006-03-03,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
EDGAR,PRIMER APELLIDO,SEGUNDO APELLIDO,1984-04-06,CURP000000MVZCURP,MEDICO CIRUJANO,HOMBRE,MASCULINO
SHIOMARA ALEXANDRA,PRIMER APELLIDO,SEGUNDO APELLIDO,1986-04-30,CURP000000MVZCURP,NINGUNA,MUJER,FEMENINO
EMMANUEL,PRIMER APELLIDO,SEGUNDO APELLIDO,1983-06-14,CURP000000MVZCURP,DENTISTA,HOMBRE,MASCULINO
ZUREYMA,PRIMER APELLIDO,SEGUNDO APELLIDO,2005-12-24,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
ERNESTO,PRIMER APELLIDO,SEGUNDO APELLIDO,2000-11-11,CURP000000MVZCURP,SIN EMPLEO,HOMBRE,MASCULINO
SHERLYN XADANI,PRIMER APELLIDO,SEGUNDO APELLIDO,2007-08-03,CURP000000MVZCURP,ESTUDIANTE,MUJER,FEMENINO
